il,ad,tur,mutfak,telefon,website,instagram,saatler,bahce,wifi,adres,ilce,mahalle,lat,lon,harita,osm_id
Adana,Köşem Lokanta Chef Mehmet,restaurant,turkish,+90 543 730 40 57,,,Mo-Sa 07:30-16:00,,,Emin Civelek Cd 107,,,37.0327982,35.8167575,"https://www.google.com/maps/search/?api=1&query=37.0327982,35.8167575",node/7916867849
Adana,La Noche Gastro Pub,bar,,+905412834765,,,,,,Turgut Özal Bulvarı,Çukurova,Güzelyalı Mahallesi,37.0376647,35.3151855,"https://www.google.com/maps/search/?api=1&query=37.0376647,35.3151855",node/5254252922
Adana,Lagos Balık Restaurant,restaurant,seafood;fish,+905301001212,http://www.lagosbalik.com/,,Mo-Su 11:00-01:30,yes,wlan,Süleyman Demirel Bulvarı 4/A,Çukurova,Karslılar Mahallesi,37.0527808,35.2959924,"https://www.google.com/maps/search/?api=1&query=37.0527808,35.2959924",node/12621286693
Adana,Lavaş Döner,fast_food,,+90 546 651 85 25,,,,,,,,,37.4243932,34.8727830,"https://www.google.com/maps/search/?api=1&query=37.4243932,34.8727830",node/12374032573
Adana,Lider Kebap,restaurant,,,,,,,,,,,36.9889284,35.3242277,"https://www.google.com/maps/search/?api=1&query=36.9889284,35.3242277",node/4567571197
Adana,Los Adanas Döner,fast_food,,,,,,,,,,,37.0296679,35.3143862,"https://www.google.com/maps/search/?api=1&query=37.0296679,35.3143862",node/7418533993
Adana,M. B. Şirvan Et Restaurant &  Büryan Evi,restaurant,,,,,,,,,,,37.0227093,35.2789005,"https://www.google.com/maps/search/?api=1&query=37.0227093,35.2789005",node/5254277726
Adana,Mado,cafe,coffee_shop,,,,,yes,,,,,37.0392104,35.3154442,"https://www.google.com/maps/search/?api=1&query=37.0392104,35.3154442",node/11422511371
Adana,Mado,cafe,coffee_shop,,,,,,,,,,36.9943427,35.3223483,"https://www.google.com/maps/search/?api=1&query=36.9943427,35.3223483",node/13793248959
Adana,Maki,restaurant,japanese,,,,,,,,,,37.0521164,35.2984744,"https://www.google.com/maps/search/?api=1&query=37.0521164,35.2984744",node/5254244858
Adana,Maki Restaurant,restaurant,turkish,,,,,,,,Seyhan,,36.9991710,35.3249594,"https://www.google.com/maps/search/?api=1&query=36.9991710,35.3249594",node/13232663171
Adana,Mandalin Plus Cafe,cafe,,+90 507 970 01 06,,,08:30-00:00,,,ALİ BOZDOĞANOĞLU Blv. 16/A,Seyhan,Pınar Mahallesi,37.0146658,35.2876821,"https://www.google.com/maps/search/?api=1&query=37.0146658,35.2876821",node/9883439788
